Year,Total Neonatal deaths,Total Post-Neonatal deaths,Neonatal deaths due to Malaria,Postneonatal deaths due to Malaria,Underfive deaths due to Malaria,Neonatal deaths due to diarrhoea,Postneonatal deaths due to diarrhoea,Underfive deaths due to diarrhoea,Neonatal deaths due to Acute Respiratory Infection,Postneonatal deaths due to Acute Respiratory Infection,Underfive deaths due to Acute Respiratory Infection
2000,"12,53,857","12,67,834","86,337","3,98,757","4,85,094","17,790","3,22,147","3,39,937",-,"9,773","9,773"
2001,"12,15,043","12,28,817","82,660","3,78,582","4,61,242","17,089","3,01,755","3,18,844",-,"9,642","9,642"
2002,"11,75,465","11,60,962","78,860","3,59,832","4,38,692","16,323","2,83,031","2,99,354",-,"8,171","8,171"
2003,"11,35,040","11,14,763","74,981","3,41,528","4,16,509","15,497","2,65,168","2,80,665",-,"8,180","8,180"
2004,"10,96,413","10,72,965","71,223","3,22,931","3,94,154","14,651","2,47,576","2,62,227",-,"9,080","9,080"
2005,"10,56,348","9,79,474","67,401","3,04,719","3,72,121","13,746","2,30,742","2,44,487",-,"9,297","9,297"
2006,"10,17,141","9,53,009","63,692","2,87,070","3,50,762","12,816","2,14,814","2,27,630",-,"7,597","7,597"
2007,"9,73,379","8,80,523","59,764","2,69,463","3,29,227","11,809","1,99,351","2,11,161",-,"8,129","8,129"
2008,"9,30,987","8,29,036","56,021","2,51,735","3,07,756","10,814","1,84,247","1,95,061",-,"8,171","8,171"
2009,"8,87,858","7,90,936","52,302","2,34,506","2,86,808","9,817","1,69,967","1,79,784",-,"8,917","8,917"
2010,"8,44,966","7,13,296","48,680","2,16,487","2,65,167","8,839","1,55,433","1,64,272",-,"8,639","8,639"
2011,"8,03,346","6,62,311","45,219","2,00,759","2,45,978","7,893","1,42,883","1,50,776",-,"6,892","6,892"
2012,"7,66,308","5,94,745","42,112","1,84,347","2,26,459","7,013","1,30,195","1,37,208",-,"5,375","5,375"
2013,"7,29,051","5,44,754","39,121","1,68,274","2,07,395","6,164","1,20,656","1,26,820",-,"4,376","4,376"
2014,"6,96,675","5,16,542","36,528","1,54,199","1,90,727","5,409","1,10,458","1,15,867",-,"5,386","5,386"
2015,"6,66,286","4,80,401","34,201","1,34,300","1,68,501","4,753","1,05,279","1,10,031",-,"5,898","5,898"
2016,"6,39,826","4,43,167","32,843","1,25,333","1,58,176","4,564","98,249","1,02,813",-,"6,063","6,063"